Autauga County	58877
Baldwin County	233140
Barbour County	25180
Bibb County	22223
Blount County	59081
Bullock County	10309
Butler County	19045
Calhoun County	116266
Chambers County	34678
Cherokee County	24958
Chilton County	45024
Choctaw County	12619
Clarke County	22995
Clay County	14193
Cleburne County	15035
Coffee County	53565
Colbert County	57236
Conecuh County	11552
Coosa County	10383
Covington County	37469
Crenshaw County	13157
Cullman County	88044
Dale County	49214
Dallas County	38190
DeKalb County	71630
Elmore County	88116
Escambia County	36665
Etowah County	103393
Fayette County	16307
Franklin County	32063
Geneva County	26675
Greene County	7704
Hale County	14792
Henry County	17167
Houston County	107190
Jackson County	52519
Jefferson County	673341
Lamar County	13943
Lauderdale County	93610
Lawrence County	33063
Lee County	174601
Limestone County	104322
Lowndes County	10297
Macon County	19476
Madison County	389696
Marengo County	19264
Marion County	29287
Marshall County	97608
Mobile County	414250
Monroe County	19723
Montgomery County	228448
Morgan County	123336
Perry County	8452
Pickens County	19062
Pike County	32981
Randolph County	21971
Russell County	59226
St. Clair County	91333
Shelby County	223708
Sumter County	12295
Talladega County	82069
Tallapoosa County	41229
Tuscaloosa County	227153
Walker County	65100
Washington County	15296
Wilcox County	10518
Winston County	23491
