Appling County	18428
Atkinson County	8301
Bacon County	11123
Baker County	2844
Baldwin County	43773
Banks County	18069
Barrow County	83963
Bartow County	109311
Ben Hill County	17153
Berrien County	18159
Bibb County	157104
Bleckley County	12577
Brantley County	18040
Brooks County	16232
Bryan County	44999
Bulloch County	81378
Burke County	24621
Butts County	25542
Calhoun County	5560
Camden County	54911
Candler County	11001
Carroll County	119463
Catoosa County	67976
Charlton County	12530
Chatham County	294904
Chattahoochee County	9482
Chattooga County	24921
Cherokee County	268043
Clarke County	128489
Clay County	2835
Clayton County	297417
Clinch County	6723
Cobb County	766209
Coffee County	43047
Colquitt County	45866
Columbia County	156773
Cook County	17232
Coweta County	146653
Crawford County	12100
Crisp County	20042
Dade County	16224
Dawson County	27047
Decatur County	29338
DeKalb County	763831
Dodge County	19849
Dooly County	11142
Dougherty County	85366
Douglas County	144497
Early County	10813
Echols County	3696
Effingham County	65150
Elbert County	19627
Emanuel County	22730
Evans County	10757
Fannin County	25396
Fayette County	119441
Floyd County	98593
Forsyth County	252786
Franklin County	23429
Fulton County	1069023
Gilmer County	31429
Glascock County	2883
Glynn County	84470
Gordon County	57696
Grady County	26221
Greene County	19025
Gwinnett County	957801
Habersham County	46105
Hall County	203589
Hancock County	8722
Haralson County	29985
Harris County	34927
Hart County	25866
Heard County	11465
Henry County	241818
Houston County	164242
Irwin County	9643
Jackson County	76712
Jasper County	14638
Jeff Davis County	14777
Jefferson County	15658
Jenkins County	8662
Johnson County	9168
Jones County	28356
Lamar County	18550
Lanier County	9916
Laurens County	49497
Lee County	33179
Liberty County	65220
Lincoln County	7704
Long County	16287
Lowndes County	118316
Lumpkin County	33596
McDuffie County	21587
McIntosh County	10982
Macon County	12021
Madison County	30263
Marion County	7520
Meriwether County	20619
Miller County	5987
Mitchell County	21677
Monroe County	28046
Montgomery County	8577
Morgan County	20174
Murray County	39938
Muscogee County	206960
Newton County	112780
Oconee County	42021
Oglethorpe County	14865
Paulding County	169660
Peach County	28035
Pickens County	33333
Pierce County	19722
Pike County	18935
Polk County	42925
Pulaski County	9863
Putnam County	22140
Quitman County	2224
Rabun County	16894
Randolph County	6377
Richmond County	206328
Rockdale County	93614
Schley County	4538
Screven County	14060
Seminole County	9138
Spalding County	67413
Stephens County	26800
Stewart County	5295
Sumter County	29553
Talbot County	5731
Taliaferro County	1557
Tattnall County	22852
Taylor County	7814
Telfair County	12461
Terrell County	9153
Thomas County	45766
Tift County	41348
Toombs County	27052
Towns County	12539
Treutlen County	6390
Troup County	69388
Turner County	8971
Twiggs County	7986
Union County	24766
Upson County	27712
Walker County	67711
Walton County	97135
Ware County	36218
Warren County	5205
Washington County	19927
Wayne County	30155
Webster County	2350
Wheeler County	7430
White County	28090
Whitfield County	102727
Wilcox County	8731
Wilkes County	9556
Wilkinson County	8844
Worth County	20719
