Adair County	18870
Allen County	20595
Anderson County	23869
Ballard County	7724
Barren County	44445
Bath County	12708
Bell County	23942
Boone County	136403
Bourbon County	20285
Boyd County	48175
Boyle County	30701
Bracken County	8390
Breathitt County	13679
Breckinridge County	20432
Bullitt County	82293
Butler County	12318
Caldwell County	12632
Calloway County	37147
Campbell County	93086
Carlisle County	4811
Carroll County	10833
Carter County	26575
Casey County	15886
Christian County	72696
Clark County	36999
Clay County	20294
Clinton County	9216
Crittenden County	8985
Cumberland County	5856
Daviess County	103291
Edmonson County	12132
Elliott County	7334
Estill County	14134
Fayette County	322403
Fleming County	15091
Floyd County	35756
Franklin County	51569
Fulton County	6501
Gallatin County	8667
Garrard County	16935
Grant County	25008
Graves County	36512
Grayson County	26410
Green County	11112
Greenup County	35852
Hancock County	9092
Hardin County	110719
Harlan County	26689
Harrison County	18705
Hart County	19271
Henderson County	44645
Henry County	15666
Hickman County	4521
Hopkins County	45367
Jackson County	12951
Jefferson County	782123
Jessamine County	52972
Johnson County	22634
Kenton County	169183
Knott County	14160
Knox County	30135
Larue County	14870
Laurel County	62662
Lawrence County	16288
Lee County	7360
Leslie County	10455
Letcher County	21428
Lewis County	13061
Lincoln County	24238
Livingston County	8845
Logan County	27497
Lyon County	8664
McCracken County	67836
McCreary County	16851
McLean County	9114
Madison County	92920
Magoffin County	11594
Marion County	19580
Marshall County	31665
Martin County	11228
Mason County	17085
Meade County	29981
Menifee County	6115
Mercer County	22616
Metcalfe County	10271
Monroe County	11301
Montgomery County	28091
Morgan County	13719
Muhlenberg County	30875
Nelson County	46756
Nicholas County	7536
Ohio County	23726
Oldham County	67642
Owen County	11294
Owsley County	4018
Pendleton County	14640
Perry County	28378
Pike County	58408
Powell County	13085
Pulaski County	65016
Robertson County	2184
Rockcastle County	16053
Rowan County	24732
Russell County	17975
Scott County	57477
Shelby County	48179
Simpson County	19620
Spencer County	19564
Taylor County	26020
Todd County	12280
Trigg County	14068
Trimble County	8461
Union County	13646
Warren County	134933
Washington County	12024
Wayne County	19528
Webster County	12989
Whitley County	36687
Wolfe County	6552
Woodford County	26892
