Allegany County	67729
Anne Arundel County	590336
Baltimore County	849316
Calvert County	93928
Caroline County	33386
Carroll County	173873
Cecil County	103905
Charles County	168698
Dorchester County	32489
Frederick County	279835
Garrett County	28702
Harford County	262977
Howard County	334529
Kent County	19270
Montgomery County	1054827
Prince George's County	955306
Queen Anne's County	50798
St. Mary's County	114468
Somerset County	24584
Talbot County	37626
Washington County	154937
Wicomico County	103980
Worcester County	53132
Baltimore city	576498
