Adair County	25185
Andrew County	18002
Atchison County	5234
Audrain County	24982
Barry County	34712
Barton County	11658
Bates County	16105
Benton County	19908
Bollinger County	10556
Boone County	185840
Buchanan County	83853
Butler County	42101
Caldwell County	8897
Callaway County	44638
Camden County	43436
Cape Girardeau County	82113
Carroll County	8376
Carter County	5320
Cass County	109638
Cedar County	14496
Chariton County	7356
Christian County	91499
Clark County	6736
Clay County	255518
Clinton County	21287
Cole County	77205
Cooper County	17115
Crawford County	22807
Dade County	7599
Dallas County	17341
Daviess County	8399
DeKalb County	11098
Dent County	14432
Douglas County	11732
Dunklin County	27717
Franklin County	105231
Gasconade County	14791
Gentry County	6173
Greene County	300865
Grundy County	9720
Harrison County	8164
Henry County	22206
Hickory County	8607
Holt County	4226
Howard County	10168
Howell County	39975
Iron County	9408
Jackson County	716862
Jasper County	123155
Jefferson County	227771
Johnson County	54150
Knox County	3808
Laclede County	36133
Lafayette County	32817
Lawrence County	38321
Lewis County	10000
Lincoln County	61586
Linn County	11843
Livingston County	14755
McDonald County	23383
Macon County	15183
Madison County	12652
Maries County	8406
Marion County	28518
Mercer County	3488
Miller County	24909
Mississippi County	12538
Moniteau County	15484
Monroe County	8712
Montgomery County	11415
Morgan County	21379
New Madrid County	16035
Newton County	59386
Nodaway County	21160
Oregon County	8631
Osage County	13379
Ozark County	8782
Pemiscot County	15236
Perry County	18922
Pettis County	43188
Phelps County	44937
Pike County	17761
Platte County	108569
Polk County	32043
Pulaski County	53816
Putnam County	4712
Ralls County	10361
Randolph County	24760
Ray County	23008
Reynolds County	6087
Ripley County	10617
St. Charles County	409981
St. Clair County	9376
Ste. Genevieve County	18588
St. Francois County	67541
St. Louis County	997187
Saline County	23289
Schuyler County	4025
Scotland County	4693
Scott County	37840
Shannon County	7106
Shelby County	5976
Stoddard County	28479
Stone County	31548
Sullivan County	5934
Taney County	56387
Texas County	24987
Vernon County	19595
Warren County	36518
Washington County	23502
Wayne County	10914
Webster County	39735
Worth County	1983
Wright County	18610
St. Louis city	293310
