Albany County	313743
Allegany County	46106
Bronx County	1424948
Broome County	197240
Cattaraugus County	76426
Cayuga County	75880
Chautauqua County	126807
Chemung County	83045
Chenango County	46537
Clinton County	79596
Columbia County	61778
Cortland County	46311
Delaware County	44378
Dutchess County	297112
Erie County	950683
Essex County	37268
Franklin County	47456
Fulton County	53116
Genesee County	57853
Greene County	48499
Hamilton County	5119
Herkimer County	59937
Jefferson County	116295
Kings County	2641052
Lewis County	26573
Livingston County	61578
Madison County	67658
Monroe County	755160
Montgomery County	49558
Nassau County	1390907
New York County	1576876
Niagara County	211653
Oneida County	230274
Onondaga County	473236
Ontario County	112508
Orange County	404525
Orleans County	40191
Oswego County	117387
Otsego County	58123
Putnam County	97936
Queens County	2331143
Rensselaer County	160232
Richmond County	493494
Rockland County	339227
St. Lawrence County	108051
Saratoga County	237359
Schenectady County	158089
Schoharie County	29863
Schuyler County	17752
Seneca County	33688
Steuben County	92948
Suffolk County	1526344
Sullivan County	79806
Tioga County	47980
Tompkins County	105162
Ulster County	182951
Warren County	65618
Washington County	60956
Wayne County	90923
Westchester County	997895
Wyoming County	40491
Yates County	24613
