Adams County	27434
Allen County	102059
Ashland County	52420
Ashtabula County	97413
Athens County	62350
Auglaize County	46411
Belmont County	66235
Brown County	43629
Butler County	390600
Carroll County	26689
Champaign County	38705
Clark County	135719
Clermont County	208635
Clinton County	41962
Columbiana County	101607
Coshocton County	36548
Crawford County	41928
Cuyahoga County	1261696
Darke County	51882
Defiance County	38227
Delaware County	215062
Erie County	75429
Fairfield County	159357
Fayette County	28939
Franklin County	1324013
Fulton County	42619
Gallia County	29193
Geauga County	95334
Greene County	168025
Guernsey County	38390
Hamilton County	829909
Hancock County	74830
Hardin County	30725
Harrison County	14493
Henry County	27629
Highland County	43321
Hocking County	27999
Holmes County	44194
Huron County	58439
Jackson County	32642
Jefferson County	65107
Knox County	62765
Lake County	232410
Lawrence County	58132
Licking County	178680
Logan County	46065
Lorain County	313367
Lucas County	430728
Madison County	43823
Mahoning County	227948
Marion County	65363
Medina County	182550
Meigs County	22118
Mercer County	42471
Miami County	108821
Monroe County	13354
Montgomery County	536629
Morgan County	13741
Morrow County	34964
Muskingum County	86342
Noble County	14090
Ottawa County	40260
Paulding County	18804
Perry County	35439
Pickaway County	58628
Pike County	27050
Portage County	161775
Preble County	40964
Putnam County	34380
Richland County	124840
Ross County	76985
Sandusky County	58832
Scioto County	73720
Seneca County	54990
Shelby County	48119
Stark County	374357
Summit County	539530
Trumbull County	201405
Tuscarawas County	93063
Union County	63077
Van Wert County	28878
Vinton County	12784
Warren County	243004
Washington County	59613
Wayne County	116840
Williams County	37025
Wood County	132212
Wyandot County	21854
