Adams County	103795
Allegheny County	1248717
Armstrong County	65445
Beaver County	167732
Bedford County	47523
Berks County	428694
Blair County	122518
Bradford County	59858
Bucks County	646008
Butler County	193851
Cambria County	132957
Cameron County	4519
Carbon County	64751
Centre County	157929
Chester County	534645
Clarion County	37178
Clearfield County	80394
Clinton County	37350
Columbia County	64667
Crawford County	83723
Cumberland County	259996
Dauphin County	286544
Delaware County	576388
Elk County	30927
Erie County	270427
Fayette County	128393
Forest County	6952
Franklin County	155874
Fulton County	14549
Greene County	35813
Huntingdon County	44030
Indiana County	83116
Jefferson County	44431
Juniata County	23451
Lackawanna County	215516
Lancaster County	552597
Lawrence County	85865
Lebanon County	143242
Lehigh County	374504
Luzerne County	325057
Lycoming County	113980
McKean County	40306
Mercer County	110333
Mifflin County	46073
Monroe County	168248
Montgomery County	856947
Montour County	18115
Northampton County	312855
Northumberland County	91471
Perry County	45821
Philadelphia County	1601005
Pike County	58591
Potter County	16356
Schuylkill County	142777
Snyder County	39717
Somerset County	73917
Sullivan County	5838
Susquehanna County	38354
Tioga County	40969
Union County	42625
Venango County	50275
Warren County	38480
Washington County	209157
Wayne County	51101
Westmoreland County	353998
Wyoming County	26001
York County	456389
