Abbeville County	24212
Aiken County	169032
Allendale County	7990
Anderson County	204032
Bamberg County	13251
Barnwell County	20567
Beaufort County	187691
Berkeley County	231568
Calhoun County	14125
Charleston County	409418
Cherokee County	56179
Chester County	32276
Chesterfield County	43258
Clarendon County	31093
Colleton County	38543
Darlington County	62833
Dillon County	28284
Dorchester County	161975
Edgefield County	25675
Fairfield County	20858
Florence County	136805
Georgetown County	63440
Greenville County	526980
Greenwood County	69380
Hampton County	18512
Horry County	353498
Jasper County	29073
Kershaw County	65536
Lancaster County	96652
Laurens County	67551
Lee County	16458
Lexington County	294891
McCormick County	9513
Marion County	29043
Marlboro County	26537
Newberry County	37715
Oconee County	78638
Orangeburg County	83958
Pickens County	131602
Richland County	416527
Saluda County	18830
Spartanburg County	329364
Sumter County	105417
Union County	27148
Williamsburg County	30902
York County	283899
