Accomack County	33348
Albemarle County	112496
Alleghany County	15161
Amelia County	13246
Amherst County	31262
Appomattox County	16133
Arlington County	238766
Augusta County	77512
Bath County	4196
Bedford County	79504
Bland County	6247
Botetourt County	33614
Brunswick County	15806
Buchanan County	20216
Buckingham County	16820
Campbell County	55638
Caroline County	30905
Carroll County	29130
Charles City County	6733
Charlotte County	11506
Chesterfield County	365566
Clarke County	14788
Craig County	4880
Culpeper County	52717
Cumberland County	9656
Dickenson County	14045
Dinwiddie County	27900
Essex County	10591
Fairfax County	1148472
Fauquier County	72938
Floyd County	15474
Fluvanna County	27280
Franklin County	54469
Frederick County	91766
Giles County	16754
Gloucester County	38688
Goochland County	24828
Grayson County	15300
Greene County	20591
Greensville County	11393
Halifax County	33901
Hanover County	110102
Henrico County	334298
Henry County	50782
Highland County	2236
Isle of Wight County	38658
James City County	78412
King and Queen County	6590
King George County	26806
King William County	17905
Lancaster County	10910
Lee County	22084
Loudoun County	422597
Louisa County	37757
Lunenburg County	11930
Madison County	13837
Mathews County	8524
Mecklenburg County	30287
Middlesex County	10623
Montgomery County	99508
Nelson County	14732
New Kent County	23086
Northampton County	12232
Northumberland County	11839
Nottoway County	15614
Orange County	36396
Page County	23693
Patrick County	17560
Pittsylvania County	60312
Powhatan County	30433
Prince Edward County	21853
Prince George County	43023
Prince William County	482738
Pulaski County	33760
Rappahannock County	7312
Richmond County	8920
Roanoke County	96845
Rockbridge County	22610
Rockingham County	83758
Russell County	25726
Scott County	21547
Shenandoah County	44255
Smyth County	29730
Southampton County	17949
Spotsylvania County	140475
Stafford County	157604
Surry County	6546
Sussex County	10768
Tazewell County	40343
Warren County	40782
Washington County	53839
Westmoreland County	18496
Wise County	36018
Wythe County	28274
York County	70154
Alexandria city	159097
Bristol city	17259
Buena Vista city	6620
Charlottesville city	46423
Chesapeake city	249679
Colonial Heights city	18191
Covington city	5721
Danville city	42465
Emporia city	5716
Fairfax city	24129
Falls Church city	14654
Franklin city	8171
Fredericksburg city	27995
Galax city	6691
Hampton city	137131
Harrisonburg city	51675
Hopewell city	22967
Lexington city	7313
Lynchburg city	78871
Manassas city	42728
Manassas Park city	17140
Martinsville city	13422
Newport News city	185916
Norfolk city	237591
Norton city	3679
Petersburg city	33428
Poquoson city	12455
Portsmouth city	98015
Radford city	16089
Richmond city	226670
Roanoke city	99875
Salem city	25374
Staunton city	25800
Suffolk city	94685
Virginia Beach city	459373
Waynesboro city	22279
Williamsburg city	15445
Winchester city	28008
