Adams County	20875
Ashland County	16107
Barron County	46719
Bayfield County	16320
Brown County	269591
Buffalo County	13302
Burnett County	16744
Calumet County	52539
Chippewa County	66865
Clark County	34746
Columbia County	58488
Crawford County	16075
Dane County	563951
Dodge County	89313
Door County	30369
Douglas County	44203
Dunn County	45547
Eau Claire County	106452
Florence County	4593
Fond du Lac County	104362
Forest County	9258
Grant County	52110
Green County	36988
Green Lake County	19229
Iowa County	23756
Iron County	6178
Jackson County	21121
Jefferson County	84943
Juneau County	26802
Kenosha County	168732
Kewaunee County	20543
La Crosse County	120433
Lafayette County	16784
Langlade County	19502
Lincoln County	28541
Manitowoc County	81505
Marathon County	137648
Marinette County	41875
Marquette County	15792
Menominee County	4289
Milwaukee County	928059
Monroe County	46193
Oconto County	39356
Oneida County	38259
Outagamie County	191545
Ozaukee County	92497
Pepin County	7364
Pierce County	42587
Polk County	45431
Portage County	70468
Price County	14050
Racine County	196896
Richland County	17212
Rock County	164381
Rusk County	14123
St. Croix County	95044
Sauk County	65697
Sawyer County	18295
Shawano County	40859
Sheboygan County	117747
Taylor County	19923
Trempealeau County	30724
Vernon County	30915
Vilas County	23520
Walworth County	106799
Washburn County	16752
Washington County	137175
Waukesha County	408756
Waupaca County	51570
Waushara County	24828
Winnebago County	171623
Wood County	74070
